hue_deg,max_chroma,a,b,L,R,G,B,a_smooth,b_smooth,L_smooth,hex_smooth
40.9691764413,114.12098931,86.168469536,74.8237599897,47.0632657399,0.945896161783,0.0,0.0,86.1207886514,74.723904685,48.0899004799,#F50000
41.9345812549,115.644616626,86.0289943027,77.283177302,48.5025157318,0.965096580614,0.0,0.0,86.0345093041,77.3982313678,48.0688828142,#F50000
42.9879348012,117.469943685,85.9289465048,80.0962160281,47.7824693261,0.955380219363,0.0,0.0,85.9268138375,80.0880112496,48.265796222,#F50000
43.9913707135,119.218759623,85.7712706905,82.8033922619,48.4996584572,0.964782168361,0.0,0.0,85.7856599215,82.7638259117,48.5771660802,#F60000
44.9937825297,120.839420681,85.4556455365,85.4371010541,49.9251127716,0.98303342619,0.0,0.0,85.4319386697,85.4468774043,49.7732050582,#FA0000
45.9874417952,122.28685355,84.9668648968,87.9471797198,51.336354451,1.0,0.0,0.0,84.9011111833,87.9778395012,51.3595901385,#FF0000
46.9902624075,123.589391726,84.3031229022,90.3732328518,52.732941866,1.0,0.0,0.0,84.3180336086,90.3268793453,52.5882204913,#FF0000
47.9992996571,124.73598986,83.4658015845,92.6958851952,54.1210846735,1.0,0.0,0.0,83.5023206813,92.616964825,54.1434972402,#FF0000
48.9768645928,125.621802976,82.453593782,94.774692061,55.5192769892,1.0,0.00248586351446,0.0,82.630588321,94.7537691765,55.3338226893,#FF0000
49.7352151481,126.633514351,81.8458877191,96.6296932641,56.2211388059,1.0,0.0613578069174,0.0,81.5840469461,96.9168277936,56.532173704,#FF1400
50.8739154115,127.647285716,80.5491449889,99.0235567537,57.6303562714,1.0,0.131066896424,0.0,80.4810938324,98.9616386502,57.693675309,#FF2200
51.9970386914,128.444894059,79.0838041736,101.211870486,59.0444212824,1.0,0.180413489226,0.0,79.3939602297,100.918442341,58.7598011567,#FF2C00
52.6657282648,129.066764929,78.2743604611,102.622386952,59.75240858,1.0,0.202080429858,0.0,78.1086557148,102.860944707,59.8892089102,#FF3500
53.9088891069,129.954453621,76.5523993425,105.013761817,61.1644731684,1.0,0.241507153966,0.0,76.7750418909,104.747879373,60.9976868454,#FF3C00
54.5391750702,130.38028855,75.639626557,106.196358397,61.8632596582,1.0,0.259763359628,0.0,75.2894563323,106.571866931,62.1386195556,#FF4400
55.8158625419,131.201324786,73.71603848,108.534479758,63.2457683097,1.0,0.294196676188,0.0,73.6508141901,108.447706107,63.2663278116,#FF4B00
56.9970804968,131.61001935,71.6855781204,110.373797084,64.6077618208,1.0,0.326419824887,0.0,72.0251023951,110.254211619,64.3685403095,#FF5200
57.7668614162,132.371225938,70.6022591281,111.97081076,65.280566225,1.0,0.342035826423,0.0,70.3055264253,112.06541415,65.4697638666,#FF5800
58.992073281,132.778071667,68.4015074968,113.803559206,66.6103008938,1.0,0.371973669049,0.0,68.801572249,113.637118453,66.3801112155,#FF5E00
59.7532338889,133.488611164,67.2415799771,115.315997298,67.2666163476,1.0,0.38658365373,0.0,67.1657081385,115.289824821,67.323187232,#FF6300
60.4236522227,133.854220863,66.0681530432,116.41284979,67.9194650099,1.0,0.400895313869,0.0,65.6935850216,116.719458719,68.1255611722,#FF6700
61.7776361151,134.580989883,63.6426398303,118.581858787,69.2137354227,1.0,0.428887445237,0.0,63.9359663417,118.33010784,69.0531040915,#FF6D00
62.4603525749,134.943337913,62.3927113736,119.653056854,69.8548757195,1.0,0.442592104181,0.0,62.1397449587,119.871105314,69.9830334877,#FF7200
63.835134214,135.668566885,59.8238094367,121.766464452,71.1245397892,1.0,0.469466139018,0.0,60.2553670485,121.445867844,70.9106104706,#FF7700
64.526350678,136.032303038,58.5069421739,122.807675605,71.7528285408,1.0,0.48265030598,0.0,58.0568392839,123.132997545,71.9624523274,#FF7C00
65.9142642824,136.763632834,55.813674798,124.856417422,72.9956962518,1.0,0.508540885886,0.0,56.0887131707,124.649438727,72.8721387615,#FF8100
66.6100785699,137.131664073,54.4394121701,125.862797101,73.6100083137,1.0,0.521255515598,0.0,54.0903853791,126.097458166,73.7588948217,#FF8600
67.9996469785,137.850442803,51.6404722817,127.812386737,74.8243363942,1.0,0.546248112668,0.0,52.1573969181,127.48519666,74.6092083454,#FF8A00
68.7009514062,138.247077841,50.2162823227,128.804423532,75.4240746354,1.0,0.558535607146,0.0,50.2158522831,128.796325651,75.4233684322,#FF8E00
69.3975983366,138.622380094,48.7785657666,129.75675622,76.0187302916,1.0,0.570681370802,0.0,48.2633381401,130.100435146,76.2344702851,#FF9300
70.7879723372,139.376690151,45.8639745392,131.614427768,77.1924161532,1.0,0.594562711493,0.0,46.2211908997,131.380244688,77.0464361373,#FF9700
71.4809467243,139.754834736,44.388930144,132.518061836,77.7712922457,1.0,0.606301619028,0.0,44.0895223102,132.701397313,77.8877985585,#FF9B00
72.8607379347,140.510174027,41.4076760172,134.270299664,78.9127716195,1.0,0.629383319137,0.0,41.838267652,134.009743282,78.7443774929,#FFA000
73.5469049948,140.885887824,39.903154403,135.116881465,79.4752482939,1.0,0.640728520249,0.0,39.5217419916,135.335790486,79.6195888232,#FFA400
74.9031759781,141.624886543,36.8863420311,136.736996676,80.577577956,1.0,0.662916600302,0.0,37.2078676599,136.567317687,80.4617878652,#FFA800
75.5728964144,141.985986881,35.3755309772,137.508517113,81.1174549406,1.0,0.673764712841,0.0,34.9880818388,137.688756612,81.2512792576,#FFAD00
76.8944862337,142.684892167,32.3530909231,138.968543061,82.1745416321,1.0,0.694977533193,0.0,32.7932338684,138.781894958,82.0266536545,#FFB000
77.545952134,143.019711909,30.8431361302,139.654355278,82.6916680011,1.0,0.705344204989,0.0,30.5404525892,139.785653351,82.7936097704,#FFB400
78.8293659018,143.651994903,27.829924372,140.930447204,83.7028549892,1.0,0.725601427348,0.0,28.1356013934,140.8027835,83.6015193183,#FFB900
79.4610244825,143.945988311,26.3283464939,141.517722289,84.1968151061,1.0,0.735492728189,0.0,25.9087703354,141.681428084,84.33351354,#FFBC00
